"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"03/01/2022","5,91","5,86","-0,51","5,53","5,95","182,62M"
"30/12/2021","5,90","5,89","0,68","5,86","6,18","99,17M"
"29/12/2021","5,84","5,85","0,00","5,77","5,96","55,46M"
"28/12/2021","6,03","5,85","-3,15","5,83","6,08","78,25M"
"27/12/2021","5,79","6,04","3,96","5,78","6,10","106,35M"
"23/12/2021","5,80","5,81","0,69","5,60","5,87","60,47M"
"22/12/2021","5,90","5,77","-2,20","5,70","5,94","99,11M"
"21/12/2021","5,90","5,90","1,03","5,58","5,95","129,70M"
"20/12/2021","5,69","5,84","-1,02","5,69","5,98","109,08M"
"17/12/2021","5,66","5,90","1,37","5,62","6,03","218,44M"
"16/12/2021","5,40","5,82","8,58","5,38","5,96","513,28M"
"15/12/2021","4,98","5,36","7,41","4,83","5,39","162,57M"
"14/12/2021","5,16","4,99","-2,16","4,92","5,18","161,29M"
"13/12/2021","5,29","5,10","-2,86","5,09","5,41","87,31M"
"10/12/2021","5,27","5,25","2,74","5,11","5,37","144,71M"
"09/12/2021","5,60","5,11","-9,24","5,08","5,60","174,20M"
"08/12/2021","5,43","5,63","3,87","5,14","5,64","191,76M"
"07/12/2021","5,53","5,42","-0,55","5,36","5,61","136,03M"
"06/12/2021","5,19","5,45","6,24","5,10","5,50","144,46M"
"03/12/2021","5,00","5,13","3,22","4,95","5,25","195,37M"
"02/12/2021","5,20","4,97","-2,55","4,88","5,25","175,85M"
"01/12/2021","5,55","5,10","-6,76","5,08","5,65","143,79M"
"30/11/2021","5,61","5,47","-3,01","5,32","5,64","119,65M"
"29/11/2021","5,63","5,64","1,81","5,44","5,77","146,39M"
"26/11/2021","5,50","5,54","-4,48","5,36","5,68","154,61M"
"25/11/2021","5,69","5,80","1,93","5,66","5,92","89,23M"
"24/11/2021","5,41","5,69","4,02","5,26","5,80","208,23M"
"23/11/2021","5,58","5,47","-0,36","5,31","5,60","128,26M"
"22/11/2021","5,92","5,49","-6,79","5,49","5,99","155,96M"
"19/11/2021","5,87","5,89","0,51","5,79","6,13","170,02M"
"18/11/2021","5,83","5,86","0,51","5,74","6,00","146,53M"
"17/11/2021","6,10","5,83","-2,51","5,68","6,15","187,06M"
"16/11/2021","6,63","5,98","-9,26","5,89","6,73","197,93M"
"12/11/2021","6,28","6,59","5,61","6,28","6,90","429,65M"
"11/11/2021","6,18","6,24","1,96","5,94","6,34","164,07M"
"10/11/2021","6,15","6,12","-0,65","6,01","6,37","187,07M"
"09/11/2021","5,87","6,16","6,21","5,83","6,25","173,88M"
"08/11/2021","6,00","5,80","-4,61","5,74","6,09","130,63M"
"05/11/2021","5,76","6,08","7,42","5,74","6,12","164,10M"
"04/11/2021","5,72","5,66","-2,08","5,57","6,02","164,71M"
"03/11/2021","5,43","5,78","13,33","5,32","5,84","311,24M"
"01/11/2021","n/d","5,10","5,59","4,82","5,21","106,22M"
"29/10/2021","4,90","4,83","-0,82","4,77","4,95","107,56M"
"28/10/2021","5,24","4,87","-7,41","4,86","5,26","150,83M"
"27/10/2021","5,13","5,26","2,33","5,12","5,44","176,01M"
"26/10/2021","5,40","5,14","-6,03","5,12","5,44","136,23M"
"25/10/2021","5,49","5,47","1,11","5,29","5,54","188,66M"
"22/10/2021","5,54","5,41","-4,59","5,18","5,62","242,57M"
"21/10/2021","6,13","5,67","-10,00","5,61","6,23","345,08M"
"20/10/2021","6,35","6,30","-0,16","6,25","6,47","181,75M"
"19/10/2021","6,20","6,31","-1,56","6,05","6,39","372,47M"
"18/10/2021","6,05","6,41","20,72","5,85","6,50","671,88M"
"15/10/2021","4,96","5,31","6,41","4,96","5,34","125,00M"
"14/10/2021","5,13","4,99","-2,16","4,96","5,20","94,50M"
"13/10/2021","5,02","5,10","2,20","4,97","5,14","119,75M"
"11/10/2021","5,01","4,99","-0,20","4,92","5,12","83,07M"
"08/10/2021","4,91","5,00","3,73","4,88","5,16","166,23M"
"07/10/2021","4,97","4,82","-2,82","4,82","5,07","83,04M"
"06/10/2021","4,64","4,96","5,53","4,46","4,96","210,28M"
"05/10/2021","4,67","4,70","1,29","4,64","4,87","138,80M"
"04/10/2021","5,01","4,64","-8,30","4,64","5,03","180,06M"
"01/10/2021","4,86","5,06","4,98","4,74","5,08","130,61M"
"30/09/2021","4,91","4,82","-1,03","4,76","5,00","188,49M"
"29/09/2021","4,92","4,87","0,41","4,79","5,08","239,62M"
"28/09/2021","5,04","4,85","-4,53","4,73","5,06","174,97M"
"27/09/2021","5,20","5,08","-1,93","5,02","5,24","115,46M"
"24/09/2021","5,32","5,18","-2,81","5,12","5,32","104,63M"
"23/09/2021","5,47","5,33","-2,02","5,33","5,55","137,22M"
"22/09/2021","5,62","5,44","-1,45","5,42","5,68","116,64M"
"21/09/2021","5,35","5,52","4,94","5,23","5,61","116,11M"
"20/09/2021","5,36","5,26","-4,19","5,17","5,42","118,35M"
"17/09/2021","5,59","5,49","-2,31","5,39","5,64","146,65M"
"16/09/2021","5,76","5,62","-3,44","5,60","5,81","104,86M"
"15/09/2021","5,96","5,82","-2,18","5,69","5,99","123,27M"
"14/09/2021","6,04","5,95","-1,65","5,90","6,23","113,57M"
"13/09/2021","5,73","6,05","7,27","5,71","6,06","149,54M"
"10/09/2021","5,92","5,64","-2,76","5,64","5,98","106,12M"
"09/09/2021","5,72","5,80","2,29","5,49","5,84","161,69M"
"08/09/2021","6,06","5,67","-8,55","5,66","6,06","151,38M"
"06/09/2021","5,98","6,20","2,99","5,90","6,21","99,81M"
"03/09/2021","5,88","6,02","4,15","5,61","6,02","217,09M"
"02/09/2021","6,13","5,78","-5,86","5,76","6,13","150,81M"
"01/09/2021","6,02","6,14","3,02","5,87","6,23","183,85M"
"31/08/2021","6,13","5,96","-2,61","5,87","6,30","247,71M"
"30/08/2021","5,93","6,12","2,86","5,85","6,14","129,65M"
"27/08/2021","n/d","5,95","0,00","5,85","6,09","169,75M"
"26/08/2021","5,79","5,95","2,41","5,74","6,15","255,47M"
"25/08/2021","5,87","5,81","-1,02","5,64","6,03","179,60M"
"24/08/2021","5,31","5,87","11,81","5,30","5,91","245,72M"
"23/08/2021","5,64","5,25","-6,08","5,18","5,66","214,98M"
"20/08/2021","5,52","5,59","-0,36","5,38","5,64","191,02M"
"19/08/2021","5,32","5,61","3,70","5,26","5,66","188,40M"
"18/08/2021","5,44","5,41","0,00","5,21","5,66","194,56M"
"17/08/2021","5,59","5,41","-3,91","5,24","5,63","208,52M"
"16/08/2021","5,98","5,63","-5,70","5,59","6,08","201,62M"
"13/08/2021","6,64","5,97","-9,13","5,89","6,65","196,27M"
"12/08/2021","6,47","6,57","1,86","6,44","6,69","115,98M"
"11/08/2021","6,36","6,45","0,47","6,30","6,45","81,92M"
"10/08/2021","6,62","6,42","-2,73","6,39","6,65","105,76M"
"09/08/2021","6,68","6,60","-1,79","6,57","6,81","90,75M"
