DATA,ABERTURA,FECHAMENTO,VARIAÇÃO,MÍNIMO,MÁXIMO,VOLUME,SCORE_D-10
21/03/2022,"26,69",26.55,-1.52,26.1,27.27,"116,84M",-0.1055
18/03/2022,"24,54",26.96,9.46,24.16,27.08,"166,92M",0.9574
17/03/2022,"24,35",24.63,0.9,23.8,24.88,"217,07M",0.1288
16/03/2022,"23,42",24.41,4.99,23.32,24.56,"187,81M",0.5247
15/03/2022,"23,55",23.25,-2.52,23.09,24.26,"133,06M",-0.2023
14/03/2022,"24,97",23.85,-4.14,23.82,25.18,"138,10M",-0.3591
11/3/2022,"27,05",24.88,-6.82,24.8,27.63,"201,05M",-0.6186
10/3/2022,"27,54",26.7,-2.94,26.11,27.54,"166,15M",-0.243
9/3/2022,"27,29",27.51,2.15,27.2,28.4,"210,29M",0.2498
8/3/2022,"27,50",26.93,-0.3,26.26,28,"270,91M",0.0126
7/3/2022,"29,89",27.01,-10.24,26.91,29.94,"300,58M",-0.9497
4/3/2022,"31,12",30.09,-3.25,29.68,31.68,"195,43M",-0.273
3/3/2022,"32,45",31.1,-4.16,31.05,32.86,"199,57M",-0.3611
2/3/2022,"30,50",32.45,6.39,30.1,32.75,"178,23M",0.6602
25/02/2022,"30,42",30.5,0.99,29,30.57,"347,50M",0.1375
24/02/2022,"28,11",30.2,1.72,27.51,30.61,"219,57M",0.2081
23/02/2022,"30,15",29.69,-0.34,29.53,32.24,"380,58M",0.0087
22/02/2022,"31,52",29.79,-5.4,29.79,31.66,"321,59M",-0.4811
21/02/2022,"32,50",31.49,-6.61,31.35,32.6,"147,65M",-0.5983
18/02/2022,"34,60",33.72,-1.63,33.33,34.81,"114,23M",-0.1162
17/02/2022,"35,60",34.28,-3.27,33.92,36.18,"157,94M",-0.2749
16/02/2022,"35,96",35.44,-1.17,35.3,36.35,"166,36M",-0.0716
15/02/2022,"34,09",35.86,6.35,34.09,35.96,"235,68M",0.6563
14/02/2022,"32,56",33.72,3.63,32.3,34.07,"140,61M",0.393
11/2/2022,"33,97",32.54,-4.15,32,34.18,"214,46M",-0.3601
10/2/2022,"34,07",33.95,-0.24,33.4,34.66,"248,97M",0.0184
9/2/2022,"33,22",34.03,2.28,33.08,34.29,"155,44M",0.2623
8/2/2022,"32,07",33.27,3.32,31.12,33.53,"216,35M",0.363
7/2/2022,"32,30",32.2,0.16,31.73,32.76,"125,53M",0.0571
4/2/2022,"32,16",32.15,0.47,30.53,32.21,"220,42M",0.0871
3/2/2022,"31,36",32,2.53,30.67,32.37,"214,01M",0.2865
2/2/2022,"31,33",31.21,0.39,30.58,32.44,"231,20M",0.0794
1/2/2022,"31,52",31.09,0.54,30.47,32,"236,27M",0.0939
31/01/2022,"30,73",30.92,0.95,30.5,31.39,"214,42M",0.1336
28/01/2022,"32,62",30.63,-6.15,30.59,32.62,"320,04M",-0.5537
27/01/2022,"33,83",32.64,-1.73,32.52,33.83,"240,98M",-0.1258
26/01/2022,"34,69",33.22,-3.51,32.99,35.14,"325,81M",-0.2982
25/01/2022,"32,92",34.42,3.01,32.3,34.42,"336,19M",0.333
24/01/2022,"34,23",33.42,-2,32.7,34.35,"337,58M",-0.152
21/01/2022,"33,25",34.1,2.31,32.71,34.62,"803,82M",0.2652
20/01/2022,"32,40",33.33,2.95,32.18,34.19,"336,77M",0.3272
19/01/2022,"30,00",32.38,9.9,29.96,32.92,"369,16M",1
18/01/2022,"29,50",29.46,-0.85,28.92,30.4,"116,64M",-0.0407
17/01/2022,"29,54",29.71,0.53,29.21,30.16,"80,63M",0.0929
14/01/2022,"28,79",29.56,2.43,28.32,29.83,"124,30M",0.2769
13/01/2022,"28,55",28.86,0.37,28.02,28.98,"165,96M",0.0774
12/1/2022,"27,36",28.75,5.1,27.2,29.3,"283,25M",0.5353
11/1/2022,"26,33",27.35,3.35,26.19,27.97,"253,69M",0.3659
10/1/2022,"26,62",26.47,-2.02,25.78,27.25,"311,21M",-0.1539
7/1/2022,"28,18",27.01,-5.33,26.72,28.27,"214,10M",-0.4743
6/1/2022,"28,07",28.53,2.24,27.32,28.72,"122,76M",0.2585
5/1/2022,"29,25",27.91,-4.47,27.74,29.33,"154,40M",-0.3911
4/1/2022,"30,26",29.22,-3.42,29.1,31.18,"160,88M",-0.2894
3/1/2022,"30,53",30.25,-1.77,28.58,30.86,"225,78M",-0.1297
30/12/2021,"30,33",30.8,1.81,30.25,31.97,"327,20M",0.2168
29/12/2021,"30,25",30.25,-0.03,29.76,30.89,"82,37M",0.0387
28/12/2021,"31,24",30.26,-2.73,30.08,31.49,"93,67M",-0.2227
27/12/2021,"29,97",31.11,3.81,29.9,31.74,"125,57M",0.4105
23/12/2021,"29,83",29.97,0.36,28.94,30.42,"82,63M",0.0765
22/12/2021,"30,33",29.86,-0.58,29.53,30.76,"99,66M",-0.0145
21/12/2021,"30,84",30.04,-0.93,28.94,30.92,"150,26M",-0.0484
20/12/2021,"29,56",30.32,-0.73,29.56,31,"103,10M",-0.029
17/12/2021,"29,68",30.54,0.32,29.17,31.26,"255,26M",0.0726
16/12/2021,"27,95",30.45,8.93,27.9,31.14,"529,32M",0.9061
15/12/2021,"26,14",27.95,7.46,25.14,28.2,"311,61M",0.7638
14/12/2021,"27,06",26.01,-2.02,25.76,27.26,"188,36M",-0.1539
13/12/2021,"28,09",26.54,-4.49,26.54,28.48,"144,08M",-0.393
10/12/2021,"27,97",27.79,1.9,27.26,28.56,"157,29M",0.2256
9/12/2021,"29,45",27.28,-8.56,27.09,29.74,"196,71M",-0.787
8/12/2021,"29,06",29.83,2.65,27.67,30.1,"220,24M",0.2982
7/12/2021,"29,46",29.06,-0.1,28.67,29.8,"173,06M",0.0319
6/12/2021,"27,50",29.09,7.26,27.07,29.24,"194,58M",0.7444
3/12/2021,"26,80",27.12,1.35,26.66,28.08,"220,99M",0.1723
2/12/2021,"27,85",26.76,-3,25.92,28.25,"242,61M",-0.2488
1/12/2021,"30,44",27.59,-6.7,27.55,30.57,"218,54M",-0.607
30/11/2021,"30,17",29.57,-3.59,28.94,30.67,"189,52M",-0.3059
29/11/2021,"30,40",30.67,3.25,29.42,31.17,"162,82M",0.3562
