DATA,ABERTURA,FECHAMENTO,VARIACAO_(%),MINIMO,MAXIMO,VOLUME,SCORE_D-10
2022-01-13,5.54,5.57,-0.54,5.42,5.62,81.15,-0.3498
2022-01-12,5.29,5.6,5.66,5.26,5.65,111.47,0.0438
2022-01-11,5.06,5.3,4.33,5.01,5.39,80.55,-0.0406
2022-01-10,5.17,5.08,-2.5,4.99,5.25,88.32,-0.4742
2022-01-07,5.46,5.21,-5.44,5.18,5.49,131.34,-0.6609
2022-01-06,5.45,5.51,1.66,5.28,5.56,74.42,-0.2101
2022-01-05,5.66,5.42,-4.41,5.37,5.68,111.63,-0.5955
2022-01-04,5.88,5.67,-3.24,5.63,6.0,141.15,-0.5212
2022-01-03,5.91,5.86,-0.51,5.53,5.95,182.62,-0.3479
2021-12-30,5.9,5.89,0.68,5.86,6.18,99.17,-0.2723
2021-12-29,5.84,5.85,0.0,5.77,5.96,55.46,-0.3155
2021-12-28,6.03,5.85,-3.15,5.83,6.08,78.25,-0.5155
2021-12-27,5.79,6.04,3.96,5.78,6.1,106.35,-0.0641
2021-12-23,5.8,5.81,0.69,5.6,5.87,60.47,-0.2717
2021-12-22,5.9,5.77,-2.2,5.7,5.94,99.11,-0.4552
2021-12-21,5.9,5.9,1.03,5.58,5.95,129.7,-0.2501
2021-12-20,5.69,5.84,-1.02,5.69,5.98,109.08,-0.3803
2021-12-17,5.66,5.9,1.37,5.62,6.03,218.44,-0.2285
2021-12-16,5.4,5.82,8.58,5.38,5.96,513.28,0.2292
2021-12-15,4.98,5.36,7.41,4.83,5.39,162.57,0.1549
2021-12-14,5.16,4.99,-2.16,4.92,5.18,161.29,-0.4526
2021-12-13,5.29,5.1,-2.86,5.09,5.41,87.31,-0.4971
2021-12-10,5.27,5.25,2.74,5.11,5.37,144.71,-0.1415
2021-12-09,5.6,5.11,-9.24,5.08,5.6,174.2,-0.9022
2021-12-08,5.43,5.63,3.87,5.14,5.64,191.76,-0.0698
2021-12-07,5.53,5.42,-0.55,5.36,5.61,136.03,-0.3504
2021-12-06,5.19,5.45,6.24,5.1,5.5,144.46,0.0806
2021-12-03,5.0,5.13,3.22,4.95,5.25,195.37,-0.1111
2021-12-02,5.2,4.97,-2.55,4.88,5.25,175.85,-0.4774
