DATA,ABERTURA,FECHAMENTO,VARIAÇÃO,MÍNIMO,MÁXIMO,VOLUME,SCORE_D-10
13/01/2022,"5,54","5,57","-0,54","5,42","5,62","81,15M",-0.3498
12/1/2022,"5,29","5,60","5,66","5,26","5,65","111,47M",0.0438
11/1/2022,"5,06","5,30","4,33","5,01","5,39","80,55M",-0.0406
10/1/2022,"5,17","5,08","-2,50","4,99","5,25","88,32M",-0.4742
7/1/2022,"5,46","5,21","-5,44","5,18","5,49","131,34M",-0.6609
6/1/2022,"5,45","5,51","1,66","5,28","5,56","74,42M",-0.2101
5/1/2022,"5,66","5,42","-4,41","5,37","5,68","111,63M",-0.5955
4/1/2022,"5,88","5,67","-3,24","5,63","6,00","141,15M",-0.5212
3/1/2022,"5,91","5,86","-0,51","5,53","5,95","182,62M",-0.3479
30/12/2021,"5,90","5,89","0,68","5,86","6,18","99,17M",-0.2723
29/12/2021,"5,84","5,85","0,00","5,77","5,96","55,46M",-0.3155
28/12/2021,"6,03","5,85","-3,15","5,83","6,08","78,25M",-0.5155
27/12/2021,"5,79","6,04","3,96","5,78","6,10","106,35M",-0.0641
23/12/2021,"5,80","5,81","0,69","5,60","5,87","60,47M",-0.2717
22/12/2021,"5,90","5,77","-2,20","5,70","5,94","99,11M",-0.4552
21/12/2021,"5,90","5,90","1,03","5,58","5,95","129,70M",-0.2501
20/12/2021,"5,69","5,84","-1,02","5,69","5,98","109,08M",-0.3803
17/12/2021,"5,66","5,90","1,37","5,62","6,03","218,44M",-0.2285
16/12/2021,"5,40","5,82","8,58","5,38","5,96","513,28M",0.2292
15/12/2021,"4,98","5,36","7,41","4,83","5,39","162,57M",0.1549
14/12/2021,"5,16","4,99","-2,16","4,92","5,18","161,29M",-0.4526
13/12/2021,"5,29","5,10","-2,86","5,09","5,41","87,31M",-0.4971
10/12/2021,"5,27","5,25","2,74","5,11","5,37","144,71M",-0.1415
9/12/2021,"5,60","5,11","-9,24","5,08","5,60","174,20M",-0.9022
8/12/2021,"5,43","5,63","3,87","5,14","5,64","191,76M",-0.0698
7/12/2021,"5,53","5,42","-0,55","5,36","5,61","136,03M",-0.3504
6/12/2021,"5,19","5,45","6,24","5,10","5,50","144,46M",0.0806
3/12/2021,"5,00","5,13","3,22","4,95","5,25","195,37M",-0.1111
2/12/2021,"5,20","4,97","-2,55","4,88","5,25","175,85M",-0.4774
1/12/2021,"5,55","5,10","-6,76","5,08","5,65","143,79M",-0.7447
30/11/2021,"5,61","5,47","-3,01","5,32","5,64","119,65M",-0.5066
29/11/2021,"5,63","5,64","1,81","5,44","5,77","146,39M",-0.2006
26/11/2021,"5,50","5,54","-4,48","5,36","5,68","154,61M",-0.6
25/11/2021,"5,69","5,80","1,93","5,66","5,92","89,23M",-0.193
24/11/2021,"5,41","5,69","4,02","5,26","5,80","208,23M",-0.0603
23/11/2021,"5,58","5,47","-0,36","5,31","5,60","128,26M",-0.3384
22/11/2021,"5,92","5,49","-6,79","5,49","5,99","155,96M",-0.7466
19/11/2021,"5,87","5,89","0,51","5,79","6,13","170,02M",-0.2831
18/11/2021,"5,83","5,86","0,51","5,74","6,00","146,53M",-0.2831
17/11/2021,"6,10","5,83","-2,51","5,68","6,15","187,06M",-0.4749
16/11/2021,"6,63","5,98","-9,26","5,89","6,73","197,93M",-0.9034
12/11/2021,"6,28","6,59","5,61","6,28","6,90","429,65M",0.0406
11/11/2021,"6,18","6,24","1,96","5,94","6,34","164,07M",-0.1911
10/11/2021,"6,15","6,12","-0,65","6,01","6,37","187,07M",-0.3568
9/11/2021,"5,87","6,16","6,21","5,83","6,25","173,88M",0.0787
